Date,Temp,CO2,CH4,N2O,PrimaryEnergy,LandUseCO2,CementCO2,FlaringCO2,TimeSinceBaseline,MonthSin,MonthCos,CO2_GrowthRate,CH4_GrowthRate,N2O_GrowthRate,CO2_MA12,CH4_MA12,N2O_MA12,Temp_MA12,Temp_Lag1,Temp_Lag12,CO2_Accel
2013-05-01,0.6,396.75,1811.93,325.81,149599.734,6319.521,1441.334,382.017,664,0.49999999999999994,-0.8660254037844387,0.0025205424207364047,-0.05019748019681192,0.021489531528207095,393.74333333333334,1810.4533333333331,325.37416666666667,0.6491666666666667,0.53,0.78,-0.4500000000000455
2013-06-01,0.69,395.96,1808.59,325.9,149599.734,6319.521,1441.334,382.017,665,1.2246467991473532e-16,-1.0,-0.1991178323881626,-0.184333831880934,0.027623461526649074,394.00333333333333,1811.0824999999998,325.46083333333337,0.6533333333333333,0.6,0.64,-0.8000000000000114
2013-07-01,0.6,394.48,1805.98,325.96,149599.734,6319.521,1441.334,382.017,666,-0.4999999999999998,-0.8660254037844388,-0.3737751288008795,-0.1443113143387853,0.018410555385095506,394.29333333333335,1811.6341666666667,325.5516666666667,0.655,0.69,0.58,-0.6899999999999409
2013-08-01,0.7,393.24,1808.52,325.98,149599.734,6319.521,1441.334,382.017,667,-0.8660254037844384,-0.5000000000000004,-0.3143378625025339,0.1406438609508287,0.006135722174516189,394.5725,1812.07,325.6358333333333,0.6591666666666667,0.6,0.65,0.23999999999995225
2013-09-01,0.76,393.21,1814.24,326.05,149599.734,6319.521,1441.334,382.017,668,-1.0,-1.8369701987210297e-16,-0.007628928898395504,0.3162807157233605,0.021473710043551364,394.7941666666666,1812.41,325.7133333333333,0.6633333333333333,0.7,0.71,1.2099999999999795
2013-10-01,0.69,394.5,1818.51,326.2,149599.734,6319.521,1441.334,382.017,669,-0.8660254037844386,0.5000000000000001,0.3280689707789719,0.235360261045936,0.0460052139242384,394.9891666666667,1812.7141666666666,325.78999999999996,0.6549999999999999,0.76,0.79,1.32000000000005
2013-11-01,0.83,395.96,1820.34,326.38,149599.734,6319.521,1441.334,382.017,670,-0.5000000000000004,0.8660254037844384,0.37008871989860914,0.10063183595361291,0.05518087063152155,395.1891666666666,1813.08,325.8691666666667,0.6591666666666666,0.69,0.78,0.16999999999995907
2013-12-01,0.7,396.87,1819.32,326.52,149599.734,6319.521,1441.334,382.017,671,-2.4492935982947064e-16,1.0,0.22982119406000923,-0.05603348824945176,0.042894785219682596,395.3958333333333,1813.4766666666667,325.95166666666665,0.6741666666666667,0.83,0.52,-0.5499999999999545
2014-01-01,0.76,397.51,1816.76,326.61,151239.172,6409.911,1492.451,383.772,672,0.49999999999999994,0.8660254037844387,0.16126187416534155,-0.140711914341618,0.027563395810381586,395.59916666666663,1813.7025,326.03749999999997,0.6783333333333333,0.7,0.71,-0.27000000000003865
2014-02-01,0.55,397.97,1816.27,326.66,151239.172,6409.911,1492.451,383.772,673,0.8660254037844386,0.5000000000000001,0.1157203592362599,-0.026971091393468427,0.015308778053335637,395.7891666666667,1813.8791666666666,326.12416666666667,0.6733333333333333,0.76,0.61,-0.17999999999994998
2014-03-01,0.78,398.27,1818.06,326.72,151239.172,6409.911,1492.451,383.772,674,1.0,6.123233995736766e-17,0.07538256652510622,0.09855362914104049,0.018367721790246705,395.955,1814.28,326.21083333333337,0.6825,0.55,0.67,-0.16000000000008185
2014-04-01,0.8,398.63,1820.88,326.79,151239.172,6409.911,1492.451,383.772,675,0.8660254037844387,-0.49999999999999983,0.09039094081904064,0.15511039239630708,0.021425073457392863,396.11249999999995,1814.95,326.29833333333335,0.705,0.78,0.53,0.06000000000005912
2014-05-01,0.86,398.69,1821.95,326.82,151239.172,6409.911,1492.451,383.772,676,0.49999999999999994,-0.8660254037844387,0.015051551564115861,0.05876279601071399,0.009180207472669899,396.27416666666676,1815.785,326.3825,0.7266666666666667,0.8,0.6,-0.30000000000001137
2014-06-01,0.67,397.72,1818.46,326.89,151239.172,6409.911,1492.451,383.772,677,1.2246467991473532e-16,-1.0,-0.24329679701020623,-0.19155300639425166,0.021418517838567297,396.42083333333335,1816.6075,326.465,0.7250000000000001,0.86,0.69,-1.0299999999999727
2014-07-01,0.58,396.13,1815.76,327.03,151239.172,6409.911,1492.451,383.772,678,-0.4999999999999998,-0.8660254037844388,-0.3997787388112295,-0.14847728297571194,0.04282786258373861,396.55833333333334,1817.4225,326.5541666666666,0.7233333333333335,0.67,0.6,-0.6200000000000614
2014-08-01,0.83,395.02,1819.88,327.19,151239.172,6409.911,1492.451,383.772,679,-0.8660254037844384,-0.5000000000000004,-0.28021104182970324,0.22690223377539454,0.048925175060410275,396.7066666666667,1818.3691666666666,326.65500000000003,0.7341666666666665,0.58,0.7,0.4800000000000182
2014-09-01,0.87,395.12,1826.87,327.34,151239.172,6409.911,1492.451,383.772,680,-1.0,-1.8369701987210297e-16,0.025315173915241296,0.3840912587643075,0.045844921910820347,396.86583333333334,1819.4216666666664,326.7625,0.7433333333333333,0.83,0.76,1.2100000000000364
2014-10-01,0.8,396.38,1831.22,327.52,151239.172,6409.911,1492.451,383.772,681,-0.8660254037844386,0.5000000000000001,0.318890463656607,0.23811218094336173,0.05498869676789919,397.02250000000004,1820.4808333333333,326.8725,0.7525000000000001,0.87,0.69,1.1599999999999682
2014-11-01,0.67,397.86,1833.0,327.72,151239.172,6409.911,1492.451,383.772,682,-0.5000000000000004,0.8660254037844384,0.37337908068015846,0.09720295759110265,0.061064973131430555,397.18083333333334,1821.5358333333334,326.9841666666667,0.7391666666666667,0.8,0.83,0.22000000000002728
2014-12-01,0.78,398.83,1833.46,327.87,151239.172,6409.911,1492.451,383.772,683,-2.4492935982947064e-16,1.0,0.2438043532901002,0.025095471903990862,0.045770779934084516,397.3441666666667,1822.7141666666666,327.0966666666667,0.7458333333333335,0.67,0.7,-0.5100000000000477
2015-01-01,0.86,399.56,1833.11,327.98,152357.625,6512.625,1440.666,381.194,684,0.49999999999999994,0.8660254037844387,0.18303537848205487,-0.01908959017378198,0.03354988257542324,397.51500000000004,1824.0766666666666,327.21083333333337,0.7541666666666665,0.78,0.76,-0.23999999999995225
2015-02-01,0.91,400.12,1832.96,328.04,152357.625,6512.625,1440.666,381.194,685,0.8660254037844386,0.5000000000000001,0.14015416958654825,-0.008182814997459431,0.018293798402346795,397.69416666666666,1825.4675,327.3258333333334,0.7841666666666667,0.86,0.55,-0.17000000000001592
2015-03-01,0.96,400.57,1833.19,328.04,152357.625,6512.625,1440.666,381.194,686,1.0,6.123233995736766e-17,0.11246626012195726,0.012548009776547353,0.0,397.8858333333333,1826.7283333333335,327.43583333333333,0.7991666666666667,0.91,0.78,-0.11000000000001364
2015-04-01,0.75,400.96,1833.15,327.98,152357.625,6512.625,1440.666,381.194,687,0.8660254037844387,-0.49999999999999983,0.09736126020420954,-0.0021819887736640453,-0.018290452383851186,398.08,1827.7508333333333,327.535,0.795,0.96,0.8,-0.060000000000002274
2015-05-01,0.79,400.91,1831.52,327.93,152357.625,6512.625,1440.666,381.194,688,0.49999999999999994,-0.8660254037844387,-0.012470071827597184,-0.0889179827073705,-0.015244832001959363,398.26500000000004,1828.5483333333332,327.6275,0.7891666666666666,0.75,0.86,-0.4399999999999409
2015-06-01,0.81,400.06,1827.11,327.95,152357.625,6512.625,1440.666,381.194,689,1.2246467991473532e-16,-1.0,-0.2120176598239043,-0.240783611426576,0.006098862562131657,398.46000000000004,1829.2691666666667,327.71583333333336,0.8008333333333333,0.79,0.67,-0.8000000000000682
2015-07-01,0.73,398.38,1824.59,328.03,152357.625,6512.625,1440.666,381.194,690,-0.4999999999999998,-0.8660254037844388,-0.4199370094485899,-0.13792273043221615,0.024393962494273502,398.64750000000004,1830.005,327.7991666666667,0.8133333333333334,0.81,0.58,-0.8299999999999841
2015-08-01,0.79,397.07,1828.96,328.12,152357.625,6512.625,1440.666,381.194,691,-0.8660254037844384,-0.5000000000000004,-0.32883176866308483,0.23950586159082743,0.027436514952916546,398.8183333333333,1830.7616666666665,327.87666666666667,0.8099999999999999,0.73,0.83,0.37000000000000455
2015-09-01,0.83,397.34,1836.21,328.24,152357.625,6512.625,1440.666,381.194,692,-1.0,-1.8369701987210297e-16,0.0679980859797924,0.39640013997026546,0.03657198585882426,399.00333333333333,1831.54,327.95166666666665,0.8066666666666666,0.79,0.87,1.579999999999984
2015-10-01,1.07,398.8,1841.48,328.42,152357.625,6512.625,1440.666,381.194,693,-0.8660254037844386,0.5000000000000001,0.3674434992701592,0.2870042097581349,0.05483792347062977,399.205,1832.3950000000002,328.0266666666667,0.8291666666666666,0.83,0.8,1.1900000000000546
2015-11-01,1.05,400.36,1844.54,328.61,152357.625,6512.625,1440.666,381.194,694,-0.5000000000000004,0.8660254037844384,0.39117352056168286,0.1661706887937875,0.057852749528053415,399.41333333333336,1833.3566666666666,328.10083333333336,0.8608333333333333,1.07,0.67,0.0999999999999659
2015-12-01,1.17,401.66,1844.74,328.77,152357.625,6512.625,1440.666,381.194,695,-2.4492935982947064e-16,1.0,0.32470776301329884,0.010842811757938442,0.048689936398771394,399.64916666666664,1834.2966666666669,328.1758333333333,0.8933333333333334,1.05,0.78,-0.2599999999999909
2016-01-01,1.17,402.61,1842.53,328.87,154221.484,5376.553,1476.147,371.508,696,0.49999999999999994,0.8660254037844387,0.23651844843897152,-0.11980008022810518,0.030416400523169962,399.90333333333336,1835.0816666666667,328.25,0.9191666666666668,1.17,0.86,-0.35000000000002274
2016-02-01,1.36,403.24,1841.74,328.9,154221.484,5376.553,1476.147,371.508,697,0.8660254037844386,0.5000000000000001,0.15647897469015515,-0.04287582834472392,0.009122145528617231,400.16333333333336,1835.8133333333335,328.32166666666666,0.9566666666666667,1.17,0.91,-0.3199999999999932
2016-03-01,1.35,403.82,1843.04,328.88,154221.484,5376.553,1476.147,371.508,698,1.0,6.123233995736766e-17,0.1438349370102232,0.07058542465276929,-0.00608087564608617,400.43416666666667,1836.6341666666667,328.39166666666665,0.9891666666666666,1.36,0.96,-0.05000000000001137
2016-04-01,1.08,404.34,1843.74,328.88,154221.484,5376.553,1476.147,371.508,699,0.8660254037844387,-0.49999999999999983,0.12877024416819705,0.03798072749370274,0.0,400.71583333333336,1837.5166666666667,328.46666666666664,1.0166666666666666,1.35,0.75,-0.060000000000002274
2016-05-01,0.95,404.41,1842.15,328.91,154221.484,5376.553,1476.147,371.508,700,0.49999999999999994,-0.8660254037844387,0.017312163031135697,-0.0862377558657923,0.009121868158601387,401.0075,1838.4025000000001,328.54833333333335,1.03,1.08,0.79,-0.4499999999999318
2016-06-01,0.8,403.63,1837.9,328.91,154221.484,5376.553,1476.147,371.508,701,1.2246467991473532e-16,-1.0,-0.19287356890285157,-0.23070868278912693,0.0,401.305,1839.3016666666665,328.62833333333333,1.0291666666666666,0.95,0.81,-0.8500000000000796
2016-07-01,0.84,402.11,1834.26,328.84,154221.484,5376.553,1476.147,371.508,702,-0.4999999999999998,-0.8660254037844388,-0.3765825136882728,-0.1980521247075484,-0.021282417682666477,401.6158333333333,1840.1075,328.6958333333333,1.0383333333333333,0.8,0.73,-0.7399999999999523
2016-08-01,1.01,400.8,1836.83,328.78,154221.484,5376.553,1476.147,371.508,703,-0.8660254037844384,-0.5000000000000004,-0.3257815025739186,0.1401109984407789,-0.018245955479867515,401.9266666666667,1840.7633333333333,328.75083333333333,1.0566666666666666,0.84,0.79,0.20999999999997954
2016-09-01,0.9,400.97,1844.33,328.86,154221.484,5376.553,1476.147,371.508,704,-1.0,-1.8369701987210297e-16,0.04241516966068115,0.4083121464697248,0.02433238031511742,402.2291666666667,1841.4400000000003,328.8025,1.0625,1.01,0.83,1.4800000000000182
2016-10-01,0.86,402.41,1849.96,329.05,154221.484,5376.553,1476.147,371.508,705,-0.8660254037844386,0.5000000000000001,0.3591291119036333,0.3052599046808435,0.05777534513167204,402.53,1842.1466666666665,328.85499999999996,1.0450000000000002,0.9,1.07,1.2699999999999818
2016-11-01,0.91,403.78,1851.46,329.23,154221.484,5376.553,1476.147,371.508,706,-0.5000000000000004,0.8660254037844384,0.34044879600405586,0.08108283422343376,0.05470293268501347,402.815,1842.7233333333334,328.90666666666664,1.0333333333333334,0.86,1.05,-0.07000000000005002
2016-12-01,0.86,404.68,1851.05,329.36,154221.484,5376.553,1476.147,371.508,707,-2.4492935982947064e-16,1.0,0.22289365496062086,-0.02214468581552831,0.039486073565586643,403.06666666666666,1843.2491666666665,328.9558333333333,1.0075,0.91,1.17,-0.4699999999999136
2017-01-01,1.02,405.32,1849.74,329.47,157625.312,5307.768,1499.947,384.212,708,0.49999999999999994,0.8660254037844387,0.1581496491054546,-0.07077064368871122,0.033398105416559964,403.2925,1843.8500000000001,329.0058333333333,0.995,0.86,1.17,-0.26000000000004775
2017-02-01,1.13,405.91,1848.49,329.52,157625.312,5307.768,1499.947,384.212,709,0.8660254037844386,0.5000000000000001,0.14556399881575643,-0.06757706488479398,0.015175888548268901,403.51500000000004,1844.4125000000001,329.05750000000006,0.9758333333333334,1.02,1.36,-0.049999999999954525
2017-03-01,1.16,406.31,1848.24,329.54,157625.312,5307.768,1499.947,384.212,710,1.0,6.123233995736766e-17,0.09854401221944808,-0.013524552472554685,0.0060694343287259755,403.7225,1844.8458333333335,329.1125,0.96,1.13,1.35,-0.19000000000005457
2017-04-01,0.93,406.6,1848.57,329.53,157625.312,5307.768,1499.947,384.212,711,0.8660254037844387,-0.49999999999999983,0.07137407398292162,0.017854824048813,-0.003034532985390914,403.91083333333336,1845.2483333333332,329.1666666666667,0.9475000000000001,1.16,1.08,-0.1099999999999568
2017-05-01,0.91,406.64,1847.22,329.51,157625.312,5307.768,1499.947,384.212,712,0.49999999999999994,-0.8660254037844387,0.009837678307911268,-0.07302942274297619,-0.0060692501441361735,404.09666666666664,1845.6708333333333,329.2166666666667,0.9441666666666667,0.93,0.95,-0.25000000000005684
2017-06-01,0.71,405.84,1842.89,329.58,157625.312,5307.768,1499.947,384.212,713,1.2246467991473532e-16,-1.0,-0.19673421207948572,-0.23440629703013194,0.02124366483566842,404.2808333333333,1846.0866666666668,329.2725,0.9366666666666666,0.91,0.8,-0.839999999999975
2017-07-01,0.82,404.1,1840.22,329.7,157625.312,5307.768,1499.947,384.212,714,-0.4999999999999998,-0.8660254037844388,-0.4287403903015852,-0.14488113777816336,0.036409976333517946,404.4466666666667,1846.5833333333333,329.3441666666667,0.935,0.71,0.84,-0.9399999999999409
2017-08-01,0.87,402.55,1844.58,329.79,157625.312,5307.768,1499.947,384.212,715,-0.8660254037844384,-0.5000000000000004,-0.38356842365750987,0.23692819336817994,0.02729754322112754,404.59250000000003,1847.2291666666667,329.42833333333334,0.9233333333333333,0.82,1.01,0.18999999999994088
2017-09-01,0.74,402.63,1852.76,329.87,157625.312,5307.768,1499.947,384.212,716,-1.0,-1.8369701987210297e-16,0.019873307663642592,0.443461384163335,0.024257861063103903,404.7308333333333,1847.9316666666666,329.5125,0.91,0.87,0.9,1.6299999999999955
2017-10-01,0.88,404.15,1858.03,330.01,157625.312,5307.768,1499.947,384.212,717,-0.8660254037844386,0.5000000000000001,0.3775178203313079,0.2844405103737069,0.04244096159091715,404.87583333333333,1848.6041666666667,329.59250000000003,0.9116666666666666,0.74,0.86,1.4399999999999977
2017-11-01,0.87,405.7,1858.6,330.15,157625.312,5307.768,1499.947,384.212,718,-0.5000000000000004,0.8660254037844384,0.3835209699369013,0.03067765321334015,0.042422956880083795,405.03583333333336,1849.1991666666665,329.6691666666667,0.9083333333333332,0.88,0.91,0.03000000000002956
2017-12-01,0.93,406.76,1856.59,330.29,157625.312,5307.768,1499.947,384.212,719,-2.4492935982947064e-16,1.0,0.2612768055213266,-0.10814591628106607,0.04240496743905808,405.2091666666667,1849.6608333333334,329.74666666666667,0.9141666666666666,0.87,0.86,-0.4900000000000091
2018-01-01,0.82,407.53,1854.53,330.45,161806.125,4882.023,1546.849,404.041,720,0.49999999999999994,0.8660254037844387,0.18930081620611716,-0.11095610770283093,0.04844227799811751,405.3933333333334,1850.0600000000002,329.8283333333333,0.8975,0.93,1.02,-0.29000000000002046
2018-02-01,0.84,408.24,1855.08,330.6,161806.125,4882.023,1546.849,404.041,721,0.8660254037844386,0.5000000000000001,0.17422030279981016,0.029657109887670785,0.0453926463912957,405.5874999999999,1850.6091666666664,329.91833333333335,0.8733333333333332,0.82,1.13,-0.05999999999994543
2018-03-01,0.88,408.78,1856.97,330.69,161806.125,4882.023,1546.849,404.041,722,1.0,6.123233995736766e-17,0.132275132275117,0.1018823986027595,0.027223230490003303,405.79333333333335,1851.3366666666668,330.01416666666665,0.8500000000000001,0.84,1.16,-0.17000000000007276
2018-04-01,0.88,409.08,1856.74,330.71,161806.125,4882.023,1546.849,404.041,723,0.8660254037844387,-0.49999999999999983,0.07338910905620999,-0.012385768213807324,0.006047960325372692,406.0,1852.0175,330.1125,0.8458333333333332,0.88,0.93,-0.23999999999995225
2018-05-01,0.81,408.93,1854.71,330.7,161806.125,4882.023,1546.849,404.041,724,0.49999999999999994,-0.8660254037844387,-0.03666764447051163,-0.10933140881329573,-0.003023797284629204,406.19083333333333,1852.6416666666667,330.21166666666664,0.8374999999999999,0.88,0.91,-0.44999999999998863
2018-06-01,0.76,408.06,1851.85,330.7,161806.125,4882.023,1546.849,404.041,725,1.2246467991473532e-16,-1.0,-0.21275034847040297,-0.15420200462606948,0.0,406.37583333333333,1853.3883333333333,330.305,0.8416666666666667,0.81,0.71,-0.7200000000000273
2018-07-01,0.83,406.49,1849.05,330.75,161806.125,4882.023,1546.849,404.041,726,-0.4999999999999998,-0.8660254037844388,-0.38474734107729613,-0.15120015120014818,0.015119443604483251,406.575,1854.1241666666665,330.3925,0.8424999999999999,0.76,0.82,-0.6999999999999886
2018-08-01,0.78,405.13,1851.94,330.88,161806.125,4882.023,1546.849,404.041,727,-0.8660254037844384,-0.5000000000000004,-0.33457157617653444,0.1562964765690511,0.03930461073318181,406.78999999999996,1854.7375000000002,330.48333333333335,0.8350000000000001,0.83,0.87,0.20999999999997954
2018-09-01,0.8,405.2,1860.46,331.08,161806.125,4882.023,1546.849,404.041,728,-1.0,-1.8369701987210297e-16,0.017278404462772734,0.46005810123437296,0.06044487427465661,407.00416666666666,1855.3791666666666,330.5841666666667,0.84,0.78,0.74,1.4300000000000068
2018-10-01,1.01,406.66,1865.75,331.29,161806.125,4882.023,1546.849,404.041,729,-0.8660254037844386,0.5000000000000001,0.36031589338598735,0.2843382819302631,0.06342877854295104,407.2133333333333,1856.0225,330.69083333333333,0.8508333333333332,0.8,0.88,1.3900000000000432
2018-11-01,0.83,408.12,1866.25,331.48,161806.125,4882.023,1546.849,404.041,730,-0.5000000000000004,0.8660254037844384,0.3590222790537556,0.0267988744472758,0.05735156509403261,407.41499999999996,1856.66,330.8016666666667,0.8475,1.01,0.87,-5.684341886080802e-14
2018-12-01,0.92,409.19,1866.02,331.68,161806.125,4882.023,1546.849,404.041,731,-2.4492935982947064e-16,1.0,0.26217779084583004,-0.012324179504352717,0.060335465186422965,407.6175,1857.4458333333334,330.91749999999996,0.8466666666666667,0.83,0.93,-0.38999999999998636
2019-01-01,0.93,409.93,1865.01,331.78,163694.609,4887.178,1615.727,432.392,732,0.49999999999999994,0.8660254037844387,0.1808450841907172,-0.054125893613143905,0.03014954172695372,407.81750000000005,1858.3191666666664,331.02833333333336,0.8558333333333334,0.92,0.82,-0.3299999999999841
2019-02-01,0.95,410.35,1865.03,331.75,163694.609,4887.178,1615.727,432.392,733,0.8660254037844386,0.5000000000000001,0.10245651696632052,0.0010723803089529582,-0.009042136355408292,407.99333333333334,1859.1483333333333,331.12416666666667,0.8650000000000001,0.93,0.84,-0.3199999999999932
2019-03-01,1.17,410.9,1866.3,331.66,163694.609,4887.178,1615.727,432.392,734,1.0,6.123233995736766e-17,0.134031923967326,0.06809541937662367,-0.027128862094938366,408.17,1859.9258333333335,331.205,0.8891666666666667,0.95,0.88,0.1299999999999386
2019-04-01,1.01,411.35,1865.33,331.62,163694.609,4887.178,1615.727,432.392,735,0.8660254037844387,-0.49999999999999983,0.10951569724995114,-0.051974494990092435,-0.012060543930536571,408.3591666666666,1860.6416666666667,331.2808333333333,0.9,1.17,0.88,-0.09999999999990905
2019-05-01,0.86,411.36,1861.96,331.64,163694.609,4887.178,1615.727,432.392,736,0.49999999999999994,-0.8660254037844387,0.002431019812809687,-0.1806650833900636,0.006030999336581466,408.5616666666667,1861.2458333333332,331.3591666666667,0.9041666666666667,1.01,0.81,-0.44000000000005457
2019-06-01,0.9,410.54,1858.57,331.73,163694.609,4887.178,1615.727,432.392,737,1.2246467991473532e-16,-1.0,-0.19933877868533179,-0.18206620980043553,0.02713786033048393,408.7683333333334,1861.805833333333,331.445,0.9158333333333334,0.86,0.76,-0.8299999999999841
2019-07-01,0.94,408.88,1857.99,331.84,163694.609,4887.178,1615.727,432.392,738,-0.4999999999999998,-0.8660254037844388,-0.4043454961757731,-0.031206788014437326,0.03315949718143418,408.96750000000003,1862.5508333333335,331.5358333333333,0.9250000000000002,0.9,0.83,-0.8400000000000318
